continentName,continentEnglishName,countryName,countryEnglishName,provinceName,provinceEnglishName,province_zipCode,cityName,cityEnglishName,city_zipCode,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,date,in_city_confirmedCount,in_city_suspectedCount,in_city_curedCount,in_city_deadCount
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,2.0,0.0,0.0,0.0,2020-01-24,,,,
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,10.0,0.0,0.0,0.0,2020-01-25,8.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,11.0,0.0,0.0,0.0,2020-01-26,1.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,12.0,0.0,0.0,0.0,2020-01-27,1.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,27.0,0.0,0.0,0.0,2020-01-28,15.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,32.0,0.0,0.0,0.0,2020-01-29,5.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,55.0,0.0,0.0,0.0,2020-01-30,23.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,90.0,0.0,0.0,1.0,2020-01-31,35.0,0.0,0.0,1.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,97.0,0.0,0.0,1.0,2020-02-01,7.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,140.0,0.0,0.0,3.0,2020-02-02,43.0,0.0,0.0,2.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,169.0,0.0,0.0,3.0,2020-02-03,29.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,188.0,0.0,0.0,3.0,2020-02-04,19.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,225.0,0.0,0.0,4.0,2020-02-05,37.0,0.0,0.0,1.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,265.0,0.0,11.0,5.0,2020-02-06,40.0,0.0,11.0,1.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,307.0,0.0,11.0,5.0,2020-02-07,42.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,359.0,0.0,14.0,5.0,2020-02-08,52.0,0.0,3.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,379.0,0.0,16.0,5.0,2020-02-09,20.0,0.0,2.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,416.0,0.0,41.0,7.0,2020-02-10,37.0,0.0,25.0,2.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,438.0,0.0,41.0,11.0,2020-02-11,22.0,0.0,0.0,4.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,460.0,0.0,43.0,13.0,2020-02-12,22.0,0.0,2.0,2.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,480.0,0.0,48.0,16.0,2020-02-13,20.0,0.0,5.0,3.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,500.0,0.0,58.0,17.0,2020-02-14,20.0,0.0,10.0,1.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,514.0,0.0,63.0,17.0,2020-02-15,14.0,0.0,5.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,523.0,0.0,87.0,17.0,2020-02-16,9.0,0.0,24.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,531.0,0.0,107.0,19.0,2020-02-17,8.0,0.0,20.0,2.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,544.0,0.0,121.0,19.0,2020-02-18,13.0,0.0,14.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,562.0,0.0,149.0,19.0,2020-02-19,18.0,0.0,28.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,567.0,0.0,184.0,19.0,2020-02-20,5.0,0.0,35.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,568.0,0.0,210.0,19.0,2020-02-21,1.0,0.0,26.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,571.0,0.0,231.0,19.0,2020-02-22,3.0,0.0,21.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,571.0,0.0,248.0,19.0,2020-02-23,0.0,0.0,17.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,573.0,0.0,268.0,19.0,2020-02-24,2.0,0.0,20.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,316.0,19.0,2020-02-25,2.0,0.0,48.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,337.0,19.0,2020-02-26,0.0,0.0,21.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,356.0,19.0,2020-02-27,0.0,0.0,19.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,388.0,19.0,2020-02-28,0.0,0.0,32.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,408.0,19.0,2020-02-29,0.0,0.0,20.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,438.0,19.0,2020-03-01,0.0,0.0,30.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,461.0,19.0,2020-03-02,0.0,0.0,23.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,467.0,20.0,2020-03-03,0.0,0.0,6.0,1.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,477.0,20.0,2020-03-04,0.0,0.0,10.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,481.0,20.0,2020-03-05,0.0,0.0,4.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,490.0,20.0,2020-03-06,0.0,0.0,9.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,497.0,21.0,2020-03-07,0.0,0.0,7.0,1.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,501.0,21.0,2020-03-08,0.0,0.0,4.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,506.0,21.0,2020-03-09,0.0,0.0,5.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,518.0,22.0,2020-03-10,0.0,0.0,12.0,1.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,520.0,22.0,2020-03-11,0.0,0.0,2.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,520.0,22.0,2020-03-12,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,520.0,22.0,2020-03-13,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,520.0,22.0,2020-03-14,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,526.0,22.0,2020-03-15,0.0,0.0,6.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,529.0,22.0,2020-03-16,0.0,0.0,3.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,531.0,22.0,2020-03-17,0.0,0.0,2.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,535.0,22.0,2020-03-18,0.0,0.0,4.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,538.0,22.0,2020-03-19,0.0,0.0,3.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,542.0,22.0,2020-03-20,0.0,0.0,4.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,546.0,22.0,2020-03-21,0.0,0.0,4.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,547.0,22.0,2020-03-22,0.0,0.0,1.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,547.0,22.0,2020-03-23,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,547.0,22.0,2020-03-24,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,551.0,22.0,2020-03-25,0.0,0.0,4.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,551.0,22.0,2020-03-26,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,551.0,22.0,2020-03-27,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,552.0,22.0,2020-03-28,0.0,0.0,1.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,552.0,22.0,2020-03-29,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,552.0,22.0,2020-03-30,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,552.0,22.0,2020-03-31,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,552.0,22.0,2020-04-01,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,552.0,22.0,2020-04-02,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,552.0,22.0,2020-04-03,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,552.0,22.0,2020-04-04,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,552.0,22.0,2020-04-05,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,552.0,22.0,2020-04-06,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,552.0,22.0,2020-04-07,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,552.0,22.0,2020-04-08,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,552.0,22.0,2020-04-09,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,552.0,22.0,2020-04-10,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,553.0,22.0,2020-04-11,0.0,0.0,1.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,553.0,22.0,2020-04-12,0.0,0.0,0.0,0.0
亚洲,Asia,中国,China,湖北省,Hubei,420000,仙桃,Xiantao,429004.0,575.0,0.0,553.0,22.0,2020-04-13,0.0,0.0,0.0,0.0
