排名,国家/地区,所在洲,人口
1,中国,亚洲,1400812636
2,印度,亚洲,1352617328
3,美国,美洲,327167434
4,印度尼西亚,亚洲,267663435
5,巴基斯坦,亚洲,212215030
6,巴西,美洲,209469333
7,尼日利亚,非洲,195874740
8,孟加拉国,亚洲,161356039
9,俄罗斯,欧洲,144478050
10,日本,亚洲,126529100
11,墨西哥,美洲,126190788
12,埃塞俄比亚,非洲,109224559
13,菲律宾,亚洲,106651922
14,埃及,非洲,98423595
15,越南,亚洲,95540395
16,刚果（金）,非洲,84068091
17,德国,欧洲,82927922
18,土耳其,欧洲,82319724
19,伊朗,亚洲,81800269
20,泰国,亚洲,69428524
21,法国,欧洲,66987244
22,英国,欧洲,66488991
23,意大利,欧洲,60431283
24,南非,非洲,57779622
25,坦桑尼亚,非洲,56318348
26,缅甸,亚洲,53708395
27,韩国,亚洲,51635256
28,肯尼亚,非洲,51393010
29,哥伦比亚,美洲,49648685
30,西班牙,欧洲,46723749
31,乌克兰,欧洲,44622516
32,阿根廷,美洲,44494502
33,乌干达,非洲,42723139
34,阿尔及利亚,非洲,42228429
35,苏丹,非洲,41801533
36,伊拉克,亚洲,38433600
37,波兰,欧洲,37978548
38,阿富汗,亚洲,37172386
39,加拿大,美洲,37058856
40,摩洛哥,非洲,36029138
41,沙特阿拉伯,亚洲,33699947
42,乌兹别克斯坦,亚洲,32955400
43,秘鲁,美洲,31989256
44,马来西亚,亚洲,31528585
45,安哥拉,非洲,30809762
46,加纳,非洲,29767108
47,莫桑比克,非洲,29495962
48,委内瑞拉,美洲,28870195
49,也门,亚洲,28498687
50,尼泊尔,亚洲,28087871
51,马达加斯加,非洲,26262368
52,朝鲜,亚洲,25549819
53,喀麦隆,非洲,25216237
54,科特迪瓦,非洲,25069229
55,澳大利亚,大洋洲,24992369
56,尼日尔,非洲,22442948
57,斯里兰卡,亚洲,21670000
58,布基纳法索,非洲,19751535
59,罗马尼亚,欧洲,19473936
60,马里,非洲,19077690
61,智利,美洲,18729160
62,哈萨克斯坦,亚洲,18276499
63,马拉维,非洲,18143315
64,赞比亚共和国,非洲,17351822
65,危地马拉,美洲,17247807
66,荷兰,欧洲,17231017
67,厄瓜多尔,美洲,17084357
68,叙利亚,亚洲,16906283
69,柬埔寨,亚洲,16249798
70,塞内加尔,非洲,15854360
71,乍得,非洲,15477751
72,索马里,非洲,15008154
73,津巴布韦,非洲,14439018
74,几内亚,非洲,12414318
75,卢旺达,非洲,12301939
76,突尼斯,非洲,11565204
77,贝宁,非洲,11485048
78,比利时,欧洲,11422068
79,玻利维亚,美洲,11353142
80,古巴,美洲,11338138
81,布隆迪,非洲,11175378
82,海地,美洲,11123176
83,南苏丹,非洲,10975920
84,希腊,欧洲,10727668
85,多米尼加,美洲,10627165
86,捷克,欧洲,10625695
87,葡萄牙,欧洲,10281762
88,瑞典,欧洲,10183175
89,约旦,亚洲,9956011
90,阿塞拜疆,亚洲,9942334
91,匈牙利,欧洲,9768785
92,阿联酋,亚洲,9630959
93,洪都拉斯,美洲,9587522
94,白俄罗斯,欧洲,9485386
95,塔吉克斯坦,亚洲,9100837
96,以色列,亚洲,8883800
97,奥地利,欧洲,8847037
98,巴布亚新几内亚,大洋洲,8606316
99,瑞士,欧洲,8516543
100,多哥,非洲,7889094
101,塞拉利昂,非洲,7650154
102,老挝,亚洲,7061507
103,保加利亚,欧洲,7024216
104,塞尔维亚,欧洲,6982084
105,巴拉圭,美洲,6956071
106,黎巴嫩,亚洲,6848925
107,利比亚,非洲,6678567
108,尼加拉瓜,美洲,6465513
109,萨尔瓦多,美洲,6420744
110,吉尔吉斯斯坦,亚洲,6315800
111,土库曼斯坦,亚洲,5850908
112,丹麦,欧洲,5797446
113,新加坡,亚洲,5638676
114,芬兰,欧洲,5518050
115,斯洛伐克,欧洲,5447011
116,挪威,欧洲,5314336
117,刚果（布）,非洲,5244363
118,哥斯达黎加,美洲,4999441
119,新西兰,大洋洲,4885500
120,爱尔兰,欧洲,4853506
121,阿曼,亚洲,4829483
122,利比里亚,非洲,4818977
123,中非共和国,非洲,4666377
124,巴勒斯坦,亚洲,4569087
125,毛里塔尼亚,非洲,4403319
126,巴拿马,美洲,4176873
127,科威特,亚洲,4137309
128,克罗地亚,欧洲,4089400
129,格鲁吉亚,亚洲,3731000
130,摩尔多瓦,欧洲,3545883
131,乌拉圭,美洲,3449299
132,波黑,欧洲,3323929
133,波多黎各,美洲,3195153
134,蒙古,亚洲,3170208
135,亚美尼亚,亚洲,2951776
136,牙买加,美洲,2934855
137,阿尔巴尼亚,欧洲,2866376
138,立陶宛,欧洲,2789533
139,卡塔尔,亚洲,2781677
140,纳米比亚,非洲,2448255
141,冈比亚,非洲,2280102
142,博茨瓦纳,非洲,2254126
143,加蓬,非洲,2119275
144,莱索托,非洲,2108132
145,马其顿,欧洲,2082958
146,斯洛文尼亚,欧洲,2067372
147,拉脱维亚,欧洲,1926542
148,几内亚比绍,非洲,1874309
149,巴林,亚洲,1569439
150,特立尼达和多巴哥,美洲,1389858
151,爱沙尼亚,欧洲,1320884
152,赤道几内亚,非洲,1308974
153,东帝汶,亚洲,1267972
154,毛里求斯,非洲,1265303
155,塞浦路斯,欧洲,1189265
156,斯威士兰,非洲,1136191
157,吉布提,非洲,958920
158,斐济群岛,大洋洲,883483
159,科摩罗,非洲,832322
160,圭亚那,美洲,779004
161,不丹,亚洲,754394
162,所罗门群岛,大洋洲,652858
163,黑山,欧洲,622345
164,卢森堡,欧洲,607728
165,苏里南,美洲,575991
166,佛得角,非洲,543767
167,马尔代夫,亚洲,515696
168,马耳他,欧洲,483530
169,文莱,亚洲,428962
170,巴哈马,美洲,385640
171,伯利兹,美洲,383071
172,冰岛,欧洲,353574
173,瓦努阿图,大洋洲,292680
174,巴巴多斯,美洲,286641
175,新喀里多尼亚,大洋洲,284060
176,法属波利尼西亚,大洋洲,277679
177,圣多美和普林西比,非洲,211028
178,萨摩亚,大洋洲,196130
179,圣卢西亚,美洲,181889
180,关岛,大洋洲,165768
181,库拉索,美洲,159849
182,基里巴斯,大洋洲,115847
183,密克罗尼西亚联邦,大洋洲,112640
184,格林纳达,美洲,111454
185,圣文森特和格林纳丁斯,美洲,110210
